"id","ts","lat","lon","pm25"
"264","2024-04-29 15:16:27","13.8524","100.562","76"
"265","2024-04-29 16:26:26","13.8524","100.562","73"
"266","2024-04-29 17:26:26","13.8524","100.562","73"
"267","2024-04-29 18:26:27","13.8524","100.562","71"
"268","2024-04-29 18:56:27","13.8524","100.562","71"
"269","2024-04-29 20:26:25","13.8524","100.562","50"
"270","2024-04-29 21:26:26","13.8524","100.562","50"
"271","2024-04-29 22:26:27","13.8524","100.562","52"
"272","2024-04-29 23:26:26","13.8524","100.562","50"
"273","2024-04-30 00:16:26","13.8524","100.562","50"
"274","2024-04-30 01:26:26","13.8524","100.562","50"
"275","2024-04-30 01:56:26","13.8524","100.562","52"
"276","2024-04-30 03:26:27","13.8524","100.562","52"
"277","2024-04-30 04:16:27","13.8524","100.562","59"
"278","2024-04-30 05:26:26","13.8524","100.562","69"
"279","2024-04-30 06:26:26","13.8524","100.562","80"
"280","2024-04-30 06:36:26","13.8524","100.562","78"
"281","2024-04-30 08:26:26","13.8524","100.562","126"
"282","2024-04-30 09:26:47","13.8524","100.562","156"
"283","2024-04-30 10:26:35","13.8524","100.562","160"
"284","2024-04-30 11:06:34","13.8524","100.562","154"
"285","2024-04-30 12:26:47","13.8524","100.562","156"
"286","2024-04-30 13:26:35","13.8524","100.562","153"
"287","2024-04-30 14:06:36","13.8524","100.562","146"
"288","2024-04-30 15:26:45","13.8524","100.562","139"
"289","2024-04-30 16:26:45","13.8524","100.562","129"
"290","2024-04-30 16:56:45","13.8524","100.562","134"
"291","2024-04-30 18:26:45","13.8524","100.562","101"
"292","2024-04-30 18:26:45","13.8524","100.562","101"
"293","2024-04-30 20:26:44","13.8524","100.562","80"
"294","2024-04-30 21:16:44","13.8524","100.562","71"
"295","2024-04-30 22:26:55","13.8524","100.562","71"
"296","2024-04-30 23:16:53","13.8524","100.562","71"
"297","2024-05-01 00:26:54","13.8524","100.562","71"
"298","2024-05-01 01:16:54","13.8524","100.562","76"
"299","2024-05-01 02:26:55","13.8524","100.562","84"
